
2000386;1;21
3598076;2;37
5297834;3;54
6398244;4;65
7897341;5;80
10696747;6;108
10796686;7;109
11296572;8;114
12595970;9;127
14396914;10;145
16097725;11;162
16898177;12;170
19001359;13;191
20500653;14;206
21901828;15;220
22002078;16;221
22201509;17;223
22300951;18;224
22601673;19;227
22900882;20;230
23200556;21;233
23999527;22;241
24099754;23;242
24698901;24;248
25197080;25;253
25296945;26;254
25695862;27;258
25796066;28;259
26097218;29;262
26297012;30;264
26397072;31;265
26597100;32;267
1;2756597;1
2;9944530;7
3;13129562;14
4;13602252;15
5;14435969;16
6;15797214;19
7;17056308;22
8;18732383;26
9;21203006;33
10;23360668;39
11;23734594;40
12;25044873;43
13;25887229;45
1;4568428;1
2;8638152;2
3;11089272;8
4;11931180;11
5;12362829;13
6;15760383;14
1;12475053;1
2;15416030;5
3;21417907;9
4;23710115;11
5;25549443;13
6;28004411;16
7;34738517;24
8;37855093;28
9;42376206;31
10;45817906;37
11;49886929;40
1;1632625;1
2;2720125;7
3;3140999;8
4;5789125;22
5;7548551;24
6;8142247;27
7;10704548;37
8;14396805;50
9;16783715;57
10;18499653;62
11;19483493;64
12;20468571;66
13;21909550;68
1;131099516;1
2;132092113;3
3;132912979;7
4;134235494;13
5;135313750;14
6;137445420;21
7;139957988;31
8;141875999;36
9;143660102;43
10;216459697;53
11;219044472;59
1;3249643;1
2;11913699;3
3;12572813;9
4;12871783;12
5;14892796;24
6;16105983;34
7;18278187;47
8;19557302;51
9;20266945;52
10;20839878;54
11;21703100;58
12;22764571;59
13;79817625;62
1;4625235;1
2;4987765;5
3;5488671;10
4;6188543;17
5;6488930;20
6;7189598;27
7;7588746;31
8;8187277;37
9;8587133;41
10;8986503;45
11;9286488;48
12;19794116;59
13;20095240;62
14;20395342;65
15;20894771;70
16;20996119;71
17;21193886;73
1;1749;1
2;599779;7
3;1298762;14
4;2198768;23
5;2398635;25
6;2898379;30
7;3496393;36
8;3995452;41
9;4595123;47
10;4995517;51
11;5295302;54
12;6096396;62
13;6396373;65
1;1999244;21
2;3596832;37
3;5195788;53
4;5998298;61
5;8194702;83
6;9293643;94
7;9892379;100
8;11391446;115
9;11793557;119
10;12291255;124
11;12891918;130
12;13192255;133
13;14989552;151
14;15590326;157
15;15991864;161
16;16391534;165
17;16991310;171
18;17592081;177
19;18391430;185
20;19091175;192
21;19390842;195
22;19490665;196
23;20592362;207
24;20990795;211
25;21589598;217
26;21989405;221
27;22288122;224
28;22587745;227
29;22886459;230
30;23086314;232
31;23186447;233
32;23285901;234
33;23385302;235
1;1322;1
1;991;1
1;919;1
1;20911372;1
2;136738386;4
1;28586314;1
2;73821623;4
1;5469776;1
1;7582725;1
1;4704101;1
2;7717630;3
3;8618554;12
4;9316924;19
5;10117426;27
6;10715497;33
7;11215059;38
8;11614129;42
9;12113000;47
10;12612292;52
11;12712270;53
12;22944678;67
13;23044616;68
14;23345214;71
15;23645726;74
1;930;1
2;301200;4
3;901942;10
4;1103192;12
5;1700992;18
6;2100873;22
7;2401473;25
8;3102114;32
9;4099450;42
10;4898388;50
11;5199311;53
1;894;1
2;100934;2
3;501466;6
4;1001709;11
5;1201149;13
6;1701358;18
7;2201140;23
8;2803020;29
9;3503351;36
10;4304839;44
11;4604055;47
12;6000605;61
13;6600505;67
1;1517868;1
2;2405517;3
3;4046975;10
4;5825102;17
5;6091633;18
6;7452589;23
7;8640690;26
8;9945366;31
9;12180699;38
10;13483652;42
11;14151877;43
12;24433583;60
13;24902171;61
14;27912834;65
15;30675242;69
16;31798422;70
1;10943285;21
2;13439957;46
3;15538040;67
4;16737286;79
5;16936781;81
6;18835771;100
7;21134534;123
8;21234986;124
9;23232559;144
10;25631827;168
11;27834716;190
12;29835626;210
13;30236611;214
14;30535377;217
15;31137872;223
16;32640923;238
17;33842568;250
18;33941711;251
19;34941769;261
20;35741591;269
21;35841262;270
22;36741058;279
23;37140998;283
24;37841599;290
25;38440852;296
26;38740926;299
27;39140876;303
28;39540858;307
29;39740848;309
30;39941125;311
31;40241355;314
